customer_id,age,gender,marital_status,city_tier,occupation,life_stage,annual_income,relationship_tenure_months,segment,fd_balance,fd_count,fd_avg_tenor_months,rd_balance,sb_balance,aqb,balance_gt_10l_flag,num_products,num_accounts,has_demat,demat_balance,has_loan,loan_outstanding,debit_txn_count_12m,credit_txn_count_12m,debit_txn_value_12m,credit_txn_value_12m,avg_monthly_txn_count,digital_txn_ratio,cibil_score,delinquency_flag,complaint_count_12m,nrv_12m,holds_3p_insurance,holds_wealth_product,has_real_feedback,feedback_channel,feedback_text,feedback_sentiment,feedback_signal,feedback_date,is_fd_base,is_eligible,cross_sell_flag,cross_sell_product,propensity_score
CUST-100044,56,M,Married,Tier-2,Self-Employed,Pre-Retiree,684100,35,Classic,3284900,3,60,0,648100,375200,1,5,4,0,0,1,945600,86,68,335300,1011400,8.78,0.701,743,0,0,1211400,0,0,0,,,,,,1,1,0,,0.5599
CUST-100045,40,M,Married,Tier-2,Self-Employed,Family-Builder,1289900,197,Preferred,989900,2,18,25800,27600,18500,0,4,4,0,0,0,0,300,157,879300,1904400,23.15,0.573,680,0,0,289600,0,0,0,,,,,,0,0,0,,0.01
CUST-100046,53,F,Married,Tier-3,Self-Employed,Peak-Earner,818000,47,Classic,609000,2,36,360200,8000,8400,0,5,4,0,0,1,2376500,205,100,1374400,568800,17.34,0.552,739,0,1,174100,1,0,0,,,,,,0,0,0,,0.01
CUST-100047,45,F,Married,Tier-2,Professional,Peak-Earner,721400,181,Preferred,526900,2,24,0,123700,74900,0,4,4,1,2143700,0,0,233,170,2003500,1754200,25.0,0.562,745,0,1,953500,0,0,0,,,,,,0,0,0,,0.01
CUST-100048,25,F,Single,Tier-2,Business,Young-Earner,1387800,196,Classic,786500,2,24,0,203200,224200,0,4,3,0,0,1,4918000,188,158,1565200,1774200,14.27,0.692,666,0,2,311700,0,0,0,,,,,,0,0,0,,0.01
CUST-100049,52,M,Married,Tier-1,Self-Employed,Peak-Earner,1160100,235,Classic,2888000,2,36,317400,1015500,1026900,1,5,5,1,1482800,0,0,250,126,2214600,2260900,20.94,0.777,728,0,0,1784600,1,0,0,,,,,,1,0,0,,0.01
CUST-100050,40,F,Married,Tier-2,Salaried,Family-Builder,336300,163,Classic,5332300,3,18,0,800900,512000,1,4,4,0,0,0,0,304,113,1718100,2337000,32.09,0.594,780,0,0,1853400,0,0,0,,,,,,1,1,1,Health-Insurance,0.8597
CUST-100051,30,F,Married,Tier-2,Business,Young-Earner,1162600,101,Classic,195800,1,60,91900,8000,8900,0,3,3,0,0,0,0,126,94,1224200,1354200,10.51,0.414,713,0,3,58400,0,1,0,,,,,,0,0,0,,0.01
CUST-100052,41,F,Married,Tier-1,Salaried,Family-Builder,994600,69,Classic,4668100,3,36,0,759700,763500,1,4,4,0,0,0,0,244,138,1956500,3046400,22.42,0.736,722,0,0,1648900,0,0,0,,,,,,1,1,0,,0.6718
CUST-100053,41,M,Married,Tier-1,Self-Employed,Family-Builder,2405900,53,Classic,1919700,1,24,0,90000,67500,1,2,2,0,0,0,0,201,137,2129400,998600,21.24,0.99,827,0,0,578000,0,0,0,,,,,,1,1,0,,0.4708
CUST-100054,40,M,Married,Tier-1,Salaried,Family-Builder,1237000,49,Preferred,377800,2,18,0,64900,61000,0,5,4,1,890000,1,2343700,203,73,1518400,1525900,20.02,0.381,739,0,1,446500,1,1,0,,,,,,0,0,0,,0.01
CUST-100055,49,F,Married,Tier-1,Self-Employed,Peak-Earner,1315800,102,Classic,730200,1,60,0,8000,6000,0,3,3,1,1459300,0,0,167,135,856400,1314600,11.31,0.636,718,0,3,718800,1,0,0,,,,,,0,0,0,,0.01
CUST-100056,37,M,Married,Tier-2,Salaried,Family-Builder,504300,83,Classic,987700,2,12,237500,100300,89000,0,4,4,0,0,0,0,68,37,171300,678500,6.52,0.484,766,0,1,321700,0,0,0,,,,,,0,0,0,,0.01
CUST-100057,70,F,Married,Tier-1,Retired,Retiree,1025900,176,Classic,648300,1,18,156000,52000,57100,0,3,3,0,0,0,0,163,84,801400,741400,14.76,0.909,852,0,0,204900,0,0,1,Complaint,Requested a duplicate account statement via SMS.,neutral,neutral,2025-12-23,0,0,0,,0.01
CUST-100058,23,M,Married,Tier-3,Professional,Young-Earner,300600,140,Classic,4573400,3,18,0,983200,713100,1,4,4,0,0,0,0,438,296,4156400,5421600,33.24,0.99,681,0,0,1723000,0,0,0,,,,,,1,1,0,,0.5697
CUST-100059,50,F,Married,Tier-1,Self-Employed,Peak-Earner,617300,147,Classic,9992300,3,18,0,1595700,911000,1,4,4,0,0,0,0,146,87,1563400,1524600,11.89,0.62,654,0,1,3515900,0,0,0,,,,,,1,1,0,,0.6469
CUST-100060,49,F,Single,Tier-1,Business,Peak-Earner,1606900,114,Preferred,1416800,2,24,0,193000,206600,1,5,4,1,532200,1,3601200,400,253,3391300,5686500,30.07,0.641,717,0,0,669800,0,0,0,,,,,,1,1,0,,0.3464
CUST-100061,32,F,Married,Tier-1,Professional,Family-Builder,1134000,62,Preferred,3282300,2,18,0,550900,425800,1,3,3,0,0,0,0,153,74,1449300,1792000,12.71,0.484,743,0,0,1166900,0,1,0,,,,,,1,0,0,,0.01
CUST-100062,56,M,Married,Tier-2,Business,Pre-Retiree,1648700,228,Classic,538400,1,60,140900,175100,159900,0,4,3,0,0,1,3795600,185,87,1120400,863900,15.99,0.39,842,0,0,229500,0,0,1,Complaint,Wanted to know how to generate regular income after retiring next year.,positive,retirement_intent,2025-11-26,0,0,0,,0.01
CUST-100063,25,M,Single,Tier-2,Professional,Young-Earner,828800,194,Preferred,89800,1,18,338700,96500,59200,0,4,3,0,0,1,3115200,423,189,2026200,1468400,29.65,0.826,782,0,0,68600,0,0,0,,,,,,0,0,0,,0.01
CUST-100064,32,M,Married,Tier-2,Salaried,Family-Builder,1041400,163,Classic,409400,1,60,0,371900,397200,0,2,2,0,0,0,0,95,66,378600,550600,6.74,0.66,678,0,0,282000,0,1,0,,,,,,0,0,0,,0.01
CUST-100065,62,F,Married,Tier-1,Retired,Retiree,1345400,108,Classic,559900,2,12,47300,8000,7300,0,5,4,0,0,1,736600,231,101,1891100,1121200,16.19,0.99,587,1,0,160400,1,0,0,,,,,,0,0,0,,0.01
CUST-100066,41,F,Married,Tier-3,Business,Family-Builder,373100,120,Classic,3997100,2,60,418200,488000,516000,1,5,4,0,0,1,2144500,31,19,73900,252600,3,0.478,758,0,0,1338800,0,0,0,,,,,,1,1,0,,0.4391
CUST-100067,46,M,Married,Tier-1,Self-Employed,Peak-Earner,1714200,158,Classic,4014600,3,18,0,568000,581100,1,5,5,1,63100,0,0,518,209,2202700,4044200,41.49,0.488,830,0,0,1401800,0,1,1,SMS,Called to ask whether the bank offers a health policy that covers dependent parents.,positive,protection_intent,2025-09-16,1,0,0,,0.01
CUST-100068,23,F,Married,Tier-1,Business,Young-Earner,609800,137,Classic,3380700,2,36,0,326200,341500,1,4,3,0,0,1,1674000,175,65,416600,469400,14.86,0.575,685,0,0,1093400,0,0,0,,,,,,1,1,0,,0.2934
CUST-100069,66,M,Married,Tier-2,Retired,Retiree,532100,106,Classic,6233500,4,12,0,1138900,726700,1,6,5,0,0,1,2358100,369,207,1064700,4619400,25.49,0.428,794,0,0,2257900,0,0,0,,,,,,1,1,0,,0.5235
CUST-100070,37,M,Married,Tier-2,Self-Employed,Family-Builder,460100,141,Imperia,5596500,4,12,90800,948400,1043700,1,7,7,1,669700,0,0,251,141,1775600,2092500,24.04,0.513,800,0,0,2228200,0,1,0,,,,,,1,0,0,,0.01
CUST-100071,49,M,Married,Tier-2,Business,Peak-Earner,1293500,196,Imperia,435000,1,60,0,8000,7700,0,2,2,0,0,0,0,154,102,512100,1830500,13.8,0.481,651,0,0,125400,0,0,0,,,,,,0,0,0,,0.01
CUST-100072,39,F,Married,Tier-1,Self-Employed,Family-Builder,723900,25,Preferred,39300,1,12,20000,166200,185500,0,4,3,0,0,1,5141000,84,39,282800,485100,9.09,0.823,801,0,0,85800,0,0,0,,,,,,0,0,0,,0.01
CUST-100073,28,M,Single,Tier-1,Business,Young-Earner,955200,197,Preferred,1632100,1,60,150900,335100,251300,1,3,3,0,0,0,0,606,500,5425200,2791200,44.19,0.82,748,0,0,607800,1,1,0,,,,,,1,0,0,,0.01
CUST-100074,25,F,Single,Tier-2,Professional,Young-Earner,938200,107,Preferred,854100,1,24,325700,303100,193000,0,4,3,0,0,1,4696900,279,144,1247800,1391100,20.09,0.523,756,0,0,375500,1,0,0,,,,,,0,0,0,,0.01
CUST-100075,44,F,Married,Tier-1,Self-Employed,Peak-Earner,1119500,191,Imperia,4286700,3,60,0,802700,814600,1,5,4,0,0,1,412000,283,227,1827700,3551900,19.52,0.641,751,0,0,1561500,0,0,1,VOC,Customer enquired about family health cover during branch visit; asked for premium comparison.,positive,protection_intent,2026-01-03,1,1,0,,0.7098
CUST-100076,47,M,Single,Tier-2,Salaried,Peak-Earner,1270200,41,Classic,5747200,4,60,283500,874700,910400,1,8,7,1,1172000,1,4027400,117,57,557500,410000,12.96,0.99,814,0,0,2413000,0,0,0,,,,,,1,1,0,,0.8538
CUST-100077,43,F,Married,Tier-2,Self-Employed,Peak-Earner,2020600,105,Classic,4039900,2,12,0,856100,595500,1,3,3,0,0,0,0,32,14,151000,311900,3,0.717,763,0,1,1516400,0,0,0,,,,,,1,1,0,,0.667
CUST-100078,40,M,Married,Tier-1,Business,Family-Builder,1224900,72,Classic,778100,1,18,0,99900,86000,0,2,2,0,0,0,0,184,109,1298700,2547600,18.06,0.782,798,0,0,262800,0,1,0,,,,,,0,0,0,,0.01
CUST-100079,34,F,Married,Tier-3,Professional,Family-Builder,1180000,20,Classic,6300400,4,24,178400,675000,473900,1,7,6,0,0,1,2375000,305,253,952700,3488100,31.07,0.887,806,0,2,2067900,0,0,1,SMS,Complaint about incorrect service charge; amount reversed.,negative,service_issue,2026-01-31,1,1,0,,0.5191
CUST-100080,34,F,Married,Tier-1,Professional,Family-Builder,2028400,51,Imperia,819200,1,24,0,369300,252300,0,3,3,1,90900,0,0,92,32,354500,410400,8.69,0.638,826,0,0,427400,0,0,0,,,,,,0,0,0,,0.01
CUST-100081,47,F,Married,Tier-2,Self-Employed,Peak-Earner,1054400,104,Classic,5380800,4,36,325700,870100,656000,1,7,7,1,1507400,0,0,133,91,1119000,1729600,13.99,0.686,749,0,0,2425800,1,0,0,,,,,,1,0,0,,0.01
CUST-100082,28,F,Married,Tier-3,Salaried,Young-Earner,724900,12,Classic,1069600,2,12,0,434400,289000,1,3,3,0,0,0,0,211,139,1585300,2586600,21.91,0.874,693,0,0,495000,0,0,0,,,,,,1,1,0,,0.3629
CUST-100083,58,F,Married,Tier-2,Self-Employed,Pre-Retiree,1142900,181,Preferred,217100,1,12,0,88100,52400,0,3,2,0,0,1,523700,469,280,3840800,5171700,31.42,0.75,867,0,2,100400,0,1,0,,,,,,0,0,0,,0.01
CUST-100084,67,F,Married,Tier-2,Retired,Retiree,1762100,192,Preferred,711400,1,36,426700,13900,13100,0,4,4,1,1963700,0,0,397,329,1781200,6570100,28.55,0.422,853,0,0,892700,0,0,0,,,,,,0,0,0,,0.01
CUST-100085,42,M,Married,Tier-1,Salaried,Peak-Earner,1134400,101,Imperia,96800,2,12,0,8000,9000,0,5,4,1,412600,1,1984100,108,48,1100500,501100,8.84,0.692,880,0,0,175100,1,0,0,,,,,,0,0,0,,0.01
CUST-100086,39,M,Married,Tier-3,Professional,Family-Builder,1272400,180,Classic,5594600,3,18,0,570200,487400,1,4,4,0,0,0,0,191,126,1433500,3270800,17.22,0.733,856,0,0,1823100,0,0,0,,,,,,1,1,0,,0.6714
CUST-100087,23,F,Single,Tier-1,Self-Employed,Young-Earner,1114300,122,Classic,3605600,2,12,181800,685700,549200,1,5,5,1,1724000,0,0,204,121,1663400,2362400,19.59,0.911,725,0,0,1921500,0,0,0,,,,,,1,1,0,,0.6102
CUST-100088,58,M,Single,Tier-1,Business,Pre-Retiree,466100,23,Classic,802000,1,36,0,140900,160600,0,3,3,1,2311000,0,0,300,207,702500,2670000,21.58,0.723,717,0,0,1096800,1,0,0,,,,,,0,0,0,,0.01
CUST-100089,36,M,Married,Tier-3,Salaried,Family-Builder,848500,54,Classic,3777100,3,60,98000,561300,312800,1,5,5,0,0,0,0,135,94,479900,1516500,12.07,0.831,900,0,0,1310200,0,0,0,,,,,,1,1,1,Health-Insurance,0.7311
CUST-100090,49,M,Married,Tier-1,Business,Peak-Earner,1218200,181,Classic,397200,1,12,411400,225200,184700,0,5,4,1,2118400,1,640800,262,134,1933900,1825500,19.0,0.541,732,0,2,954000,1,0,0,,,,,,0,0,0,,0.01
CUST-100091,29,M,Married,Tier-2,Self-Employed,Young-Earner,616000,103,Preferred,3303600,3,24,0,440900,394400,1,5,4,0,0,1,2133600,225,169,1324300,1275600,17.87,0.864,796,0,0,1123400,1,0,0,,,,,,1,0,0,,0.01
CUST-100092,45,F,Married,Tier-1,Business,Peak-Earner,818700,127,Preferred,971700,2,12,0,157500,173300,0,5,4,1,1436900,1,195300,178,78,1642800,790500,15.62,0.442,837,0,0,845900,1,1,0,,,,,,0,0,0,,0.01
CUST-100093,26,M,Married,Tier-3,Business,Young-Earner,1234300,210,Classic,1659700,1,36,0,603700,398600,1,3,2,0,0,1,4843600,360,221,1634800,3535900,24.47,0.526,838,0,2,736400,0,0,0,,,,,,1,1,0,,0.2626
CUST-100094,30,M,Married,Tier-2,Business,Young-Earner,841000,11,Classic,5244100,4,36,0,1231900,963800,1,6,6,1,570800,0,0,179,133,1901100,2502900,17.6,0.99,762,0,0,2222500,0,0,0,,,,,,1,1,0,,0.7077
CUST-100095,47,F,Married,Tier-2,Salaried,Peak-Earner,702000,188,Classic,688100,1,12,0,105500,115500,0,3,2,0,0,1,1867300,59,34,274600,824200,4.33,0.641,836,0,0,240100,0,0,1,InboundCall,Asked about starting a monthly SIP; wanted to understand equity exposure.,positive,wealth_intent,2025-07-21,0,0,0,,0.01
CUST-100096,51,M,Married,Tier-1,Professional,Peak-Earner,1779400,196,Classic,3535800,2,60,0,757900,776900,1,3,3,0,0,0,0,202,156,519100,3963800,14.86,0.628,749,0,0,1331100,1,0,0,,,,,,1,0,0,,0.01
CUST-100097,62,M,Married,Tier-3,Retired,Retiree,1272800,57,Classic,250600,1,24,0,212700,184900,0,2,2,0,0,0,0,257,189,2281800,1340300,23.11,0.625,657,0,0,165900,0,0,0,,,,,,0,0,0,,0.01
CUST-100098,35,M,Married,Tier-2,Professional,Family-Builder,1203500,47,Classic,338200,2,12,158100,464300,519700,0,5,4,0,0,1,1861000,139,101,1467500,1602800,13.65,0.913,716,0,0,303600,0,0,0,,,,,,0,0,0,,0.01
CUST-100099,45,F,Married,Tier-1,Professional,Peak-Earner,1668900,174,Preferred,5854100,4,36,0,860700,646900,1,5,5,0,0,0,0,324,225,983200,1579600,28.98,0.737,762,0,0,2026500,0,0,0,,,,,,1,1,0,,0.8238
CUST-100100,57,M,Married,Tier-2,Professional,Pre-Retiree,561800,9,Preferred,9740400,4,18,0,1610700,1310200,1,7,6,1,1295100,1,734700,245,131,1732100,1173700,20.92,0.579,785,0,0,3905400,0,0,0,,,,,,1,1,0,,0.7436
CUST-100101,61,M,Single,Tier-3,Self-Employed,Pre-Retiree,836500,60,Classic,6051000,3,24,25600,838600,933800,1,6,5,0,0,1,661000,266,158,605900,825900,25.05,0.699,772,0,0,2071700,0,0,0,,,,,,1,1,0,,0.6913
CUST-100102,35,M,Married,Tier-2,Professional,Family-Builder,911300,170,Classic,5665900,4,60,0,908700,838500,1,6,6,1,1721900,0,0,443,220,1641100,1979500,38.43,0.587,697,0,0,2598000,0,0,0,,,,,,1,1,0,,0.7489
